,Date,Interest Rate,Unemployment Rate,Inflation Rate
0,1954-07-01,0.8,5.8,3.2
1,1954-08-01,1.22,6.0,3.2
2,1954-09-01,1.06,6.1,3.2
3,1954-10-01,0.85,5.7,3.2
4,1954-11-01,0.83,5.3,3.2
5,1954-12-01,1.28,5.0,3.2
6,1955-01-01,1.39,4.9,3.2
7,1955-02-01,1.29,4.7,3.2
8,1955-03-01,1.35,4.6,3.2
9,1955-04-01,1.43,4.7,3.2
10,1955-05-01,1.43,4.3,3.2
11,1955-06-01,1.64,4.2,3.2
12,1955-07-01,1.68,4.0,3.2
13,1955-08-01,1.96,4.2,3.2
14,1955-09-01,2.18,4.1,3.2
15,1955-10-01,2.24,4.3,3.2
16,1955-11-01,2.35,4.2,3.2
17,1955-12-01,2.48,4.2,3.2
18,1956-01-01,2.45,4.0,3.2
19,1956-02-01,2.5,3.9,3.2
20,1956-03-01,2.5,4.2,3.2
21,1956-04-01,2.62,4.0,3.2
22,1956-05-01,2.75,4.3,3.2
23,1956-06-01,2.71,4.3,3.2
24,1956-07-01,2.75,4.4,3.2
25,1956-08-01,2.73,4.1,3.2
26,1956-09-01,2.95,3.9,3.2
27,1956-10-01,2.96,3.9,3.2
28,1956-11-01,2.88,4.3,3.2
29,1956-12-01,2.94,4.2,3.2
30,1957-01-01,2.84,4.2,3.2
31,1957-02-01,3.0,3.9,3.2
32,1957-03-01,2.96,3.7,3.2
33,1957-04-01,3.0,3.9,3.2
34,1957-05-01,3.0,4.1,3.2
35,1957-06-01,3.0,4.3,3.2
36,1957-07-01,2.99,4.2,3.2
37,1957-08-01,3.24,4.1,3.2
38,1957-09-01,3.47,4.4,3.2
39,1957-10-01,3.5,4.5,3.2
40,1957-11-01,3.28,5.1,3.2
41,1957-12-01,2.98,5.2,3.2
42,1958-01-01,2.72,5.8,3.2
43,1958-02-01,1.67,6.4,3.2
44,1958-03-01,1.2,6.7,2.8
45,1958-04-01,1.26,7.4,2.4
46,1958-05-01,0.63,7.4,2.4
47,1958-06-01,0.93,7.3,2.1
48,1958-07-01,0.68,7.5,2.4
49,1958-08-01,1.53,7.4,2.1
50,1958-09-01,1.76,7.1,1.7
51,1958-10-01,1.8,6.7,1.7
52,1958-11-01,2.27,6.2,1.7
53,1958-12-01,2.42,6.2,1.7
